CVE-ID,CWE-ID,CodeQL,Snyk,Semgrep,FindSecBugs,Semgrep*
CVE-2018-1000134,CWE-521,,,,,
CVE-2016-8749,CWE-502,Detected,,,,Detected*
CVE-2018-8034,CWE-295,,,,,
CVE-2016-8735,CWE-284,,,,,
CVE-2014-0003,CWE-611,,Detected,,Detected,Detected*
CVE-2018-7489,CWE-502,,,,,
CVE-2013-2135,CWE-94,,,,,
CVE-2016-0762,CWE-208,,,,,
CVE-2017-15719,CWE-79,,,,,Detected*
CVE-2016-6802,CWE-22,,,,,
CVE-2018-11771,CWE-835,,,,,
CVE-2018-8027,CWE-611,Detected,,,,Detected*
CVE-2018-10862,CWE-22,Detected,Detected,,,Detected*
CVE-2014-0107,CWE-611,,,Detected,,Detected
CVE-2017-12197,CWE-863,,,,,
CVE-2018-1260,CWE-94,,,Detected,Detected,Detected
CVE-2018-8038,CWE-611,Detected,,Detected,Detected,Detected
CVE-2016-2162,CWE-79,,,,,
CVE-2017-5929,CWE-502,Detected,Detected,Detected,Detected,Detected
CVE-2012-0392,CWE-20,,,,,
CVE-2018-17197,CWE-835,,,,,
CVE-2018-1000531,CWE-20,,,,,
CVE-2016-7051,CWE-611,,,,,Detected*
CVE-2015-0263,CWE-611,,,Detected,,Detected
CVE-2016-0785,CWE-94,Detected,,,Detected,Detected*
CVE-2016-1182,CWE-79,,,,,
CVE-2015-5347,CWE-79,,,,,
CVE-2017-7661,CWE-352,,,,,
CVE-2015-4165,CWE-22,,,,Detected,Detected*
CVE-2012-4387,CWE-94,,,Detected,Detected,Detected
CVE-2013-4378,CWE-79,,,,,
CVE-2018-1306,CWE-22,,,,Detected,Detected*
CVE-2014-3600,CWE-611,,,,Detected,Detected*
CVE-2018-1327,CWE-20,,,,,
CVE-2017-5645,CWE-502,,,Detected,,Detected
CVE-2015-0264,CWE-611,,,,Detected,Detected*
CVE-2018-1324,CWE-835,,,,,
CVE-2018-1000110,CWE-863,,,,,Detected*
CVE-2015-0899,CWE-20,,,,,
CVE-2018-11787,CWE-287,,,,,
CVE-2018-1000129,CWE-79,Detected,,,Detected,Detected*
CVE-2012-6092,CWE-79,Detected,Detected,Detected,Detected,Detected
CVE-2018-14627,CWE-319,,,,,
CVE-2016-5394,CWE-79,,,,,Detected*
CVE-2016-4433,CWE-94,Detected,,,Detected,Detected*
CVE-2014-3579,CWE-611,,,Detected,Detected,Detected
CVE-2018-8039,CWE-755,,,,,
CVE-2016-4437,CWE-284,,,,,
CVE-2017-7675,CWE-22,,,,,
